Time period,Electricity - Total consumption (kWh),Distribution - Basic charge (euro),Distribution - Electricity tax (euro),Distribution - VAT (euro),Distribution fee (euro),Spot price (c/kWh),Temperature (°C),Total (euro)
01.01.2024,5.09,0.24,0.11,0.13,0.17,5.59,-20.2,0.65
02.01.2024,6.77,0.24,0.15,0.15,0.22,21.3,-25.8,0.76
03.01.2024,8.98,0.24,0.2,0.18,0.3,12.42,-25.35,0.92
04.01.2024,8.45,0.24,0.19,0.17,0.28,28.02,-26.94,0.88
05.01.2024,8.39,0.24,0.19,0.17,0.28,109.97,-27.56,0.88
06.01.2024,6.03,0.24,0.14,0.14,0.2,21.16,-25.95,0.72
07.01.2024,2.93,0.24,0.07,0.1,0.1,12.12,-8.87,0.51
08.01.2024,2.49,0.24,0.06,0.09,0.08,13.87,-2.91,0.47
09.01.2024,2.48,0.24,0.06,0.09,0.08,9.01,2.36,0.47
10.01.2024,2.84,0.24,0.06,0.1,0.09,5.33,3,0.49
11.01.2024,3.01,0.24,0.07,0.1,0.1,10.57,-4.35,0.51
12.01.2024,4.08,0.24,0.09,0.11,0.13,16.27,-5.65,0.57
13.01.2024,2.5,0.24,0.06,0.09,0.08,7.42,-4.95,0.47
14.01.2024,3.49,0.24,0.08,0.1,0.12,9.39,-8.46,0.54
15.01.2024,2.7,0.24,0.06,0.09,0.09,12.16,-10.57,0.48
16.01.2024,3.07,0.24,0.07,0.1,0.1,18.34,-17.07,0.51
17.01.2024,2.69,0.24,0.06,0.09,0.09,13.86,-11.22,0.48
18.01.2024,2.75,0.24,0.06,0.1,0.09,10.2,-9.25,0.49
19.01.2024,2.5,0.24,0.06,0.09,0.08,10.48,-14.2,0.47
20.01.2024,2.92,0.24,0.07,0.1,0.1,10.35,-18.13,0.51
21.01.2024,3.1,0.24,0.07,0.1,0.1,4.57,-1.5,0.51
22.01.2024,2.1,0.24,0.05,0.09,0.07,3.35,0.93,0.45
23.01.2024,2.46,0.24,0.06,0.09,0.08,4.12,2.13,0.47
24.01.2024,2.33,0.24,0.05,0.09,0.08,9.24,-3.67,0.46
25.01.2024,2.13,0.24,0.05,0.09,0.07,9.49,-5.02,0.45
26.01.2024,4.2,0.24,0.09,0.11,0.14,10.05,-8.65,0.58
27.01.2024,2.25,0.24,0.05,0.09,0.07,2.31,-2.02,0.45
28.01.2024,2.56,0.24,0.06,0.09,0.08,1.55,0.87,0.47
29.01.2024,2.08,0.24,0.05,0.09,0.07,1.55,3.24,0.45
30.01.2024,2.5,0.24,0.06,0.09,0.08,2.27,1.43,0.47
31.01.2024,2.6,0.24,0.06,0.09,0.09,2.2,0.65,0.48
,,,,,,,,
? All done — no more chunks needed.,,,,,,,,
