Time period,Electricity - Total consumption (kWh),Distribution - Basic charge (euro),Distribution - Electricity tax (euro),Distribution - VAT (euro),Distribution fee (euro),Spot price (c/kWh),Temperature (°C),Total (euro)
23-Jul,83.27,7.55,1.88,2.92,2.75,4.13,16.47,15.1
23-Aug,93.16,7.55,2.1,3.05,3.07,8.25,16.62,15.77
23-Sep,95.51,7.55,2.15,3.08,3.15,4.11,13.85,15.93
23-Oct,82.63,7.55,1.86,2.91,2.73,4.72,2.38,15.05
23-Nov,79.55,7.55,1.79,2.87,2.63,8.63,-2.86,14.84
23-Dec,109.68,7.55,2.47,3.27,3.62,9.46,-6.19,16.91
24-Jan,112.47,7.55,2.53,3.31,3.71,13.18,-8.83,17.1
24-Feb,82.5,7.55,1.86,2.91,2.72,6.4,-4.48,15.04
24-Mar,78.99,7.55,1.78,2.86,2.61,7.36,-0.65,14.8
24-Apr,81.76,7.87,1.84,3.01,2.82,6.06,1.54,15.54
24-May,85.92,7.87,1.94,3.06,2.96,4.36,12.12,15.83
24-Jun,80.83,7.87,1.82,3,2.79,4.47,15.8,15.48
